barangay,year,avg_lst,min_lst,max_lst,std_lst,pixel_count
Malinta,2024,46.073948170542394,36.07310552000001,53.41272098000002,2.1752101245509596,2360
Maysan,2024,46.40806149417912,38.86220983999999,54.05530873999999,2.399013070320185,3618
Marulas,2024,46.18770021390408,39.48428948000003,50.88680420000003,1.9924799448982746,2710
Gen T. De Leon,2024,47.873419695820125,42.30073795999999,51.96689852000003,1.3854519775563676,3402
Ugong,2024,47.652304160324334,43.41501248000003,54.43470896000002,1.7368515204347839,3330
Mapulang Lupa,2024,48.55467518203392,43.999493900000004,56.30778392000002,1.9098389632992856,1003
Paso De Blas,2024,48.68890455024392,43.74997844000001,54.56801174000003,1.717908956516061,2091
Punturin,2024,47.09276950079346,40.755792919999976,57.445984580000015,3.1403472377473234,3050
Bagbaguin,2024,49.94900165635038,42.43062272000003,56.482102940000004,2.3330157904032864,2329
Parada,2024,47.4544906618182,39.97306634000006,52.60606826000003,1.876773003709189,1034
Lawang Bato,2024,48.457872023156504,38.97500450000001,55.91812964000002,2.3412026178432477,2243
Karuhatan,2025,49.87917252180752,40.147385360000044,55.89762152000003,2.0536381878756496,2213
Pariancillo Villa,2025,44.24220556547172,40.08927902000005,47.83793036000003,1.91610873176608,106
Poblacion,2025,47.348372238285734,43.603003580000006,49.69391522000001,1.5664933777507823,70
Pulo,2025,44.74930825516132,40.41740894000003,48.65825516000001,2.3099262549797257,62
Isla,2025,46.619735920905526,39.79874732000002,54.250135880000016,2.7900777552826086,508
Arkong Bato,2025,48.67032239088038,42.70406432000004,52.37706092000002,1.5580719764511382,443
Palasan,2025,45.72608228857145,39.09121718000006,48.51469831999998,1.8360823515193292,336
Mabolo,2025,46.082750386718764,43.02535820000003,49.21197440000003,1.2468185494792412,128
Bisig,2025,42.71690273658538,36.73620140000003,47.59525094000003,2.4257129008450127,164
Tagalag,2025,37.89341150969233,33.45490219999999,47.174834480000015,3.666233983067424,1560
Wawang Pulo,2025,38.46089840969047,33.37286972000004,44.97021158000001,3.0631721683092894,743
Balangkas,2025,41.97142748155633,33.492500420000056,48.67192724000006,3.6080350231527443,1465
Coloong,2025,38.48763154956789,33.35919764000005,48.50786228000004,4.399910273845993,2291
Malanday,2025,42.951580512609205,32.85333068,52.664174600000024,6.394755319411273,2679
Pasolo,2025,46.11343404433122,40.94378402000001,51.484957699999995,2.0592689142230918,471
Dalandanan,2025,49.501535811007855,38.78359538000001,54.88246958000002,2.954698201191193,1786
Rincon,2025,50.182343882536394,46.50148453999998,54.660298280000006,1.833254271053672,481
Veinte Reales,2025,48.97271457294986,40.26018002000001,54.31166024000004,2.2504309404069,2173
Lingunan,2025,50.10720675411623,41.641060100000004,57.52118102000003,2.38957779599999,2461
Bignay,2025,49.88906655159252,34.21712065999998,59.80783640000004,4.108300208353713,3416
Canumay West,2025,49.20074376285716,36.14488394,57.497254880000014,3.8504912059683796,1974
Canumay East,2025,43.133966035111996,34.921232780000025,55.60367180000003,4.21291697141393,1027
Malinta,2025,50.34776651455087,42.43745876000003,56.88201128000003,2.1466133124860627,2360
Maysan,2025,48.853352446199565,36.00816314000002,57.51434498000003,3.7141751933672644,3568
Marulas,2025,49.243601610817485,35.77915580000001,55.17983732000005,2.809951131911114,2679
Gen T. De Leon,2025,50.80846084591826,33.50275448000002,56.62224176000001,3.1345804720809505,3278
Ugong,2025,51.7258388103784,45.55811102000001,58.66963573999999,1.79741123369657,3330
Mapulang Lupa,2025,52.213616178983074,44.454090560000054,58.35859592000003,2.2492091875835234,1003
Paso De Blas,2025,49.540825193658556,38.147843660000035,55.27895990000002,2.485762336282381,2091
Punturin,2025,51.02698459355032,40.31486834000003,59.83859858000005,2.895806050970087,3042
Bagbaguin,2025,50.354804685829976,32.29619342000001,58.97383952000001,4.518169204114266,2223
Parada,2025,46.649180156391324,35.09555180000001,56.741872460000025,5.703066667316054,920
Lawang Bato,2025,45.32950377662079,32.06035004,57.93476143999999,5.06367888113627,1888
